Fecha Nacimiento;Nivel Educativo;Completo Nivel Educativo;Idioma;
1989-03-05;Universitaria;Completó;Inglés;
1989-03-05;Terciaria;Incompleto;Inglés;
1989-03-05;Universitaria;Completó;Inglés;
1989-03-05;Terciaria;Incompleto;Inglés;
1989-03-05;Universitaria;Completó;Inglés;
1989-03-05;Terciaria;Incompleto;Inglés;
1960-04-16;Terciaria;Completó;Inglés;
1960-04-16;Terciaria;Completó;Inglés;
1960-04-16;Terciaria;Completó;Inglés;
1960-04-16;Terciaria;Completó;Portugues;
1989-03-05;Universitaria;Completó;Portugues;
1989-03-05;Terciaria;Incompleto;Portugues;
1989-03-05;Universitaria;Completó;Portugues;
1989-03-05;Terciaria;Incompleto;Portugues;
1989-03-05;Universitaria;Completó;Portugues;
1989-03-05;Terciaria;Incompleto;Portugues;
1989-03-05;Universitaria;Completó;Italiano;
1989-03-05;Terciaria;Incompleto;Italiano;
1989-03-05;Universitaria;Completó;Italiano;
1989-03-05;Terciaria;Incompleto;Italiano;
1989-03-05;Universitaria;Completó;Italiano;
1989-03-05;Terciaria;Incompleto;Italiano;
1986-09-17;Primaria;Completó;Inglés;
1986-09-17;Secundaria;Completó;Inglés;
1986-09-17;Terciaria;Completó;Inglés;
1992-11-10;Universitaria;Incompleto;Inglés;
1992-11-10;Primaria;Completó;Inglés;
1992-11-10;Secundaria;Completó;Inglés;
1992-11-10;Universitaria;Incompleto;Inglés;
1992-11-10;Primaria;Completó;Inglés;
1992-11-10;Secundaria;Completó;Inglés;
1995-08-19;Primaria;Completó;Inglés;
1995-08-19;Secundaria;Completó;Inglés;
1976-01-03;Secundaria;En Curso;Inglés;
1991-10-07;Secundaria;Completó;Inglés;
1991-10-07;Secundaria;Completó;Inglés;
1991-10-07;Secundaria;Completó;Inglés;
1986-09-01;Secundaria;Completó;Inglés;
1986-09-01;Universitaria;Completó;Inglés;
1986-09-01;Secundaria;Completó;Italiano;
1986-09-01;Universitaria;Completó;Italiano;
1986-09-01;Secundaria;Completó;Italiano;
1986-09-01;Universitaria;Completó;Italiano;
1986-09-01;Secundaria;Completó;Italiano;
1986-09-01;Universitaria;Completó;Italiano;
1986-09-01;Secundaria;Completó;Inglés;
1986-09-01;Universitaria;Completó;Inglés;
1986-09-01;Secundaria;Completó;Inglés;
1986-09-01;Universitaria;Completó;Inglés;
1988-08-13;Primaria;Completó;Inglés;
1988-08-13;Secundaria;Incompleto;Inglés;
1981-10-12;Secundaria;Completó;Inglés;
1981-10-12;Universitaria;Completó;Inglés;
1981-10-12;Primaria;Completó;Inglés;
1981-10-12;Secundaria;Completó;Inglés;
1981-10-12;Universitaria;Completó;Inglés;
1981-10-12;Primaria;Completó;Inglés;
1981-10-12;Secundaria;Completó;Inglés;
1981-10-12;Universitaria;Completó;Inglés;
1981-10-12;Primaria;Completó;Inglés;
1988-08-09;Secundaria;Completó;Inglés;
1989-07-04;Terciaria;Incompleto;Inglés;
1995-11-06;Secundaria;Incompleto;Inglés;
1995-11-06;Secundaria;Incompleto;Inglés;
1995-11-06;Secundaria;Incompleto;Inglés;
1988-07-21;Secundaria;Incompleto;Inglés;
1988-07-21;Primaria;Completó;Inglés;
1988-07-21;Secundaria;Incompleto;Inglés;
1988-07-21;Primaria;Completó;Inglés;
1991-04-03;Secundaria;Completó;Inglés;
1989-11-14;Terciaria;En Curso;Inglés;
1989-11-14;Secundaria;Completó;Inglés;
1989-11-14;Terciaria;En Curso;Inglés;
1989-11-14;Secundaria;Completó;Inglés;
1971-10-26;Secundaria;Completó;Inglés;
1971-10-26;Secundaria;Completó;Inglés;
1971-10-26;Secundaria;Completó;Inglés;
1958-03-29;Primaria;Completó;Inglés;
1958-03-29;Secundaria;Completó;Inglés;
1958-03-29;Primaria;Completó;Inglés;
1958-03-29;Secundaria;Completó;Inglés;
1990-07-31;Primaria;Completó;Inglés;
1990-07-31;Secundaria;Completó;Inglés;
1990-07-31;Primaria;Completó;Inglés;
1990-07-31;Secundaria;Completó;Inglés;
1996-07-10;Primaria;Completó;Inglés;
1996-07-10;Secundaria;Completó;Inglés;
1996-07-10;Terciaria;En Curso;Inglés;
1996-07-10;Primaria;Completó;Aleman;
1996-07-10;Secundaria;Completó;Aleman;
1996-07-10;Terciaria;En Curso;Aleman;
1989-05-26;Secundaria;Completó;Inglés;
1987-10-01;Primaria;Completó;Inglés;
1987-10-01;Secundaria;Completó;Inglés;
1987-10-01;Universitaria;En Curso;Inglés;
1987-10-01;Primaria;Completó;Inglés;
1987-10-01;Secundaria;Completó;Inglés;
1987-10-01;Universitaria;En Curso;Inglés;
1990-07-18;Primaria;Completó;Inglés;
1990-07-18;Secundaria;Incompleto;Inglés;
1991-10-29;Primaria;Completó;Francés;
1991-10-29;Secundaria;Completó;Francés;
1991-10-29;Universitaria;En Curso;Francés;
1991-10-29;Primaria;Completó;Inglés;
1991-10-29;Secundaria;Completó;Inglés;
1991-10-29;Universitaria;En Curso;Inglés;
1991-10-29;Primaria;Completó;Inglés;
1991-10-29;Secundaria;Completó;Inglés;
1991-10-29;Universitaria;En Curso;Inglés;
1991-10-29;Primaria;Completó;Inglés;
1991-10-29;Secundaria;Completó;Inglés;
1991-10-29;Universitaria;En Curso;Inglés;
1992-01-02;Secundaria;Completó;Inglés;
1990-03-01;Secundaria;Completó;Inglés;
1990-03-01;Secundaria;Completó;Inglés;
1990-03-01;Secundaria;Completó;Inglés;
1991-05-19;Terciaria;Incompleto;Inglés;
1991-05-19;Secundaria;Completó;Inglés;
1991-05-19;Terciaria;Incompleto;Inglés;
1991-05-19;Secundaria;Completó;Inglés;
1975-03-08;Terciaria;Completó;Francés;
1988-12-28;Primaria;Completó;Francés;
1988-12-28;Secundaria;Completó;Francés;
1988-12-28;Universitaria;Incompleto;Francés;
1988-12-28;Primaria;Completó;Francés;
1988-12-28;Secundaria;Completó;Francés;
1988-12-28;Universitaria;Incompleto;Francés;
1988-12-28;Primaria;Completó;Inglés;
1988-12-28;Secundaria;Completó;Inglés;
1988-12-28;Universitaria;Incompleto;Inglés;
1988-12-28;Primaria;Completó;Inglés;
1988-12-28;Secundaria;Completó;Inglés;
1988-12-28;Universitaria;Incompleto;Inglés;
1986-12-17;Primaria;Completó;Inglés;
1986-12-17;Secundaria;Incompleto;Inglés;
1988-12-28;Primaria;Completó;Inglés;
1988-12-28;Secundaria;Completó;Inglés;
1988-12-28;Universitaria;Incompleto;Inglés;
1988-12-28;Primaria;Completó;Portugues;
1988-12-28;Secundaria;Completó;Portugues;
1988-12-28;Universitaria;Incompleto;Portugues;
1992-03-09;Universitaria;Incompleto;Inglés;
1997-08-08;Secundaria;Completó;Aleman;
1997-08-08;Secundaria;Completó;Inglés;
1997-08-08;Secundaria;Completó;Inglés;
